0 I 6826 <6825, 5> <6827, 5>
130  L 4406 130 <4405, 2> <4407, 2>
132  L 4407 132 <4406, 2> <4408, 2>
134  L 4408 134 <4407, 2> <4409, 3>
135  L 4409 135 <4408, 3> <4410, 3>
137  L 4410 137 <4409, 3> <4411, 3>
139  L 4411 139 <4410, 3> <4412, 3>
140  L 4412 140 <4411, 3> <4413, 2>
141  L 4413 141 <4412, 2> <4414, 6>
142  L 4414 142 <4413, 6> <4415, 3>
144  L 4415 144 <4414, 3> <4416, 2>
146  L 4416 146 <4415, 2> <4417, 2>
148  L 4417 148 <4416, 2> <4418, 3>
149  L 4418 149 <4417, 3> <4419, 4>
150  L 4419 150 <4418, 4> <4420, 4>
151  L 4420 151 <4419, 4> <4421, 5>
153  L 4421 153 <4420, 5> <4422, 5>
155  L 4422 155 <4421, 5> <4423, 4>
156  L 4423 156 <4422, 4> <4424, 1>
158  L 4424 158 <4423, 1> <4425, 4>
159  L 4425 159 <4424, 4> <4426, 1>
161  L 4426 161 <4425, 1> <4427, 2>
162  L 4427 162 <4426, 2> <4428, 2>
164  L 4428 164 <4427, 2> <4429, 1>
165  L 4429 165 <4428, 1> <4430, 1>
166  L 4430 166 <4429, 1> <4431, 3>
167  L 4431 167 <4430, 3> <4432, 3>
168  L 4432 168 <4431, 3> <4433, 3>
169  L 4433 169 <4432, 3> <4434, 3>
171  L 4434 171 <4433, 3> <4435, 5>
173  L 4435 173 <4434, 5> <4436, 2>
175  L 4436 175 <4435, 2> <4437, 4>
176  L 4437 176 <4436, 4> <4438, 4>
178  L 4438 178 <4437, 4> <4439, 5>
180  L 4439 180 <4438, 5> <4440, 5>
181  L 4440 181 <4439, 5> <4441, 5>
183  L 4441 183 <4440, 5> <4442, 4>
184  L 4442 184 <4441, 4> <4443, 2>
185  L 4443 185 <4442, 2> <4444, 2>
187  L 4444 187 <4443, 2> <4445, 3>
188  L 4445 188 <4444, 3> <4446, 2>
189  L 4446 189 <4445, 2> <4447, 2>
191  L 4447 191 <4446, 2> <4448, 3>
192  L 4448 192 <4447, 3> <4449, 1>
194  L 4449 194 <4448, 1> <4450, 1>
195  L 4450 195 <4449, 1> <4451, 3>
197  L 4451 197 <4450, 3> <4452, 1>
199  L 4452 199 <4451, 1> <4453, 5>
200  L 4453 200 <4452, 5> <4454, 4>
201  L 4454 201 <4453, 4> <4455, 6>
203  L 4455 203 <4454, 6> <4456, 1>
204  L 4456 204 <4455, 1> <4457, 5>
206  L 4457 206 <4456, 5> <4458, 5>
207  L 4458 207 <4457, 5> <4459, 5>
208  L 4459 208 <4458, 5> <4460, 2>
209  L 4460 209 <4459, 2> <4461, 2>
210  L 4461 210 <4460, 2> <4462, 1>
211  L 4462 211 <4461, 1> <4463, 5>
212  L 4463 212 <4462, 5> <4464, 5>
214  L 4464 214 <4463, 5> <4465, 3>
215  L 4465 215 <4464, 3> <4466, 1>
217  L 4466 217 <4465, 1> <4467, 2>
219  L 4467 219 <4466, 2> <4468, 6>
220  L 4468 220 <4467, 6> <4469, 2>
221  L 4469 221 <4468, 2> <4470, 1>
222  L 4470 222 <4469, 1> <4471, 1>
224  L 4471 224 <4470, 1> <4472, 6>
226  L 4472 226 <4471, 6> <4473, 6>
228  L 4473 228 <4472, 6> <4474, 1>
229  L 4474 229 <4473, 1> <4475, 1>
230  L 4475 230 <4474, 1> <4476, 2>
231  L 4476 231 <4475, 2> <4477, 1>
233  L 4477 233 <4476, 1> <4478, 6>
235  L 4478 235 <4477, 6> <4479, 5>
236  L 4479 236 <4478, 5> <4480, 1>
237  L 4480 237 <4479, 1> <4481, 4>
239  L 4481 239 <4480, 4> <4482, 1>
240  L 4482 240 <4481, 1> <4483, 1>
241  L 4483 241 <4482, 1> <4484, 1>
243  L 4484 243 <4483, 1> <4485, 6>
244  L 4485 244 <4484, 6> <4486, 4>
245  L 4486 245 <4485, 4> <4487, 3>
246  L 4487 246 <4486, 3> <4488, 1>
248  L 4488 248 <4487, 1> <4489, 5>
249  L 4489 249 <4488, 5> <4490, 1>
251  L 4490 251 <4489, 1> <4491, 5>
252  L 4491 252 <4490, 5> <4492, 5>
254  L 4492 254 <4491, 5> <4493, 2>
255  L 4493 255 <4492, 2> <4494, 4>
257  L 4494 257 <4493, 4> <4495, 3>
259  L 4495 259 <4494, 3> <4496, 6>
261  L 4496 261 <4495, 6> <4497, 3>
263  L 4497 263 <4496, 3> <4498, 5>
264  L 4498 264 <4497, 5> <4499, 5>
265  L 4499 265 <4498, 5> <4500, 3>
267  L 4500 267 <4499, 3> <4501, 1>
268  L 4501 268 <4500, 1> <4502, 3>
269  L 4502 269 <4501, 3> <4503, 3>
271  L 4503 271 <4502, 3> <4504, 2>
273  L 4504 273 <4503, 2> <4505, 5>
275  L 4505 275 <4504, 5> <4506, 4>
276  L 4506 276 <4505, 4> <4507, 1>
277  L 4507 277 <4506, 1> <4508, 6>
278  L 4508 278 <4507, 6> <4509, 2>
280  L 4509 280 <4508, 2> <4510, 1>
281  L 4510 281 <4509, 1> <4511, 2>
283  L 4511 283 <4510, 2> <4512, 1>
285  L 4512 285 <4511, 1> <4513, 5>
287  L 4513 287 <4512, 5> <4514, 4>
288  L 4514 288 <4513, 4> <4515, 4>
290  L 4515 290 <4514, 4> <4516, 2>
292  L 4516 292 <4515, 2> <4517, 2>
293  L 4517 293 <4516, 2> <4518, 3>
295  L 4518 295 <4517, 3> <4519, 2>
296  L 4519 296 <4518, 2> <4520, 3>
298  L 4520 298 <4519, 3> <4521, 2>
299  L 4521 299 <4520, 2> <4522, 2>
300  L 4522 300 <4521, 2> <4523, 2>
301  L 4523 301 <4522, 2> <4524, 3>
303  L 4524 303 <4523, 3> <4525, 3>
305  L 4525 305 <4524, 3> <4526, 3>
307  L 4526 307 <4525, 3> <4527, 4>
309  L 4527 309 <4526, 4> <4528, 4>
311  L 4528 311 <4527, 4> <4529, 3>
312  L 4529 312 <4528, 3> <4530, 2>
313  L 4530 313 <4529, 2> <4531, 1>
315  L 4531 315 <4530, 1> <4532, 3>
316  L 4532 316 <4531, 3> <4533, 1>
317  L 4533 317 <4532, 1> <4534, 4>
318  L 4534 318 <4533, 4> <4535, 2>
319  L 4535 319 <4534, 2> <4536, 3>
320  L 4536 320 <4535, 3> <4537, 2>
322  L 4537 322 <4536, 2> <4538, 2>
323  L 4538 323 <4537, 2> <4539, 3>
325  L 4539 325 <4538, 3> <4540, 5>
326  L 4540 326 <4539, 5> <4541, 1>
327  L 4541 327 <4540, 1> <4542, 2>
328  L 4542 328 <4541, 2> <4543, 4>
329  L 4543 329 <4542, 4> <4544, 2>
330  L 4544 330 <4543, 2> <4545, 5>
331  L 4545 331 <4544, 5> <4546, 1>
332  L 4546 332 <4545, 1> <4547, 3>
333  L 4547 333 <4546, 3> <4548, 5>
334  L 4548 334 <4547, 5> <4549, 5>
335  L 4549 335 <4548, 5> <4550, 4>
336  L 4550 336 <4549, 4> <4551, 2>
338  L 4551 338 <4550, 2> <4552, 4>
340  L 4552 340 <4551, 4> <4553, 5>
341  L 4553 341 <4552, 5> <4554, 2>
343  L 4554 343 <4553, 2> <4555, 3>
345  L 4555 345 <4554, 3> <4556, 1>
346  L 4556 346 <4555, 1> <4557, 4>
347  L 4557 347 <4556, 4> <4558, 5>
349  L 4558 349 <4557, 5> <4559, 1>
351  L 4559 351 <4558, 1> <4560, 3>
353  L 4560 353 <4559, 3> <4561, 3>
355  L 4561 355 <4560, 3> <4562, 5>
356  L 4562 356 <4561, 5> <4563, 5>
358  L 4563 358 <4562, 5> <4564, 4>
359  L 4564 359 <4563, 4> <4565, 2>
360  L 4565 360 <4564, 2> <4566, 3>
362  L 4566 362 <4565, 3> <4567, 1>
363  L 4567 363 <4566, 1> <4568, 1>
365  L 4568 365 <4567, 1> <4569, 5>
367  L 4569 367 <4568, 5> <4570, 4>
369  L 4570 369 <4569, 4> <4571, 2>
371  L 4571 371 <4570, 2> <4572, 4>
373  L 4572 373 <4571, 4> <4573, 6>
374  L 4573 374 <4572, 6> <4574, 4>
376  L 4574 376 <4573, 4> <4575, 3>
377  L 4575 377 <4574, 3> <4576, 5>
379  L 4576 379 <4575, 5> <4577, 5>
381  L 4577 381 <4576, 5> <4578, 3>
382  L 4578 382 <4577, 3> <4579, 2>
383  L 4579 383 <4578, 2> <4580, 3>
385  L 4580 385 <4579, 3> <4581, 6>
387  L 4581 387 <4580, 6> <4582, 6>
389  L 4582 389 <4581, 6> <4583, 4>
390  L 4583 390 <4582, 4> <4584, 1>
391  L 4584 391 <4583, 1> <4585, 1>
393  L 4585 393 <4584, 1> <4586, 6>
394  L 4586 394 <4585, 6> <4587, 5>
395  L 4587 395 <4586, 5> <4588, 3>
397  L 4588 397 <4587, 3> <4589, 1>
399  L 4589 399 <4588, 1> <4590, 3>
400  L 4590 400 <4589, 3> <4591, 5>
402  L 4591 402 <4590, 5> <4592, 3>
403  L 4592 403 <4591, 3> <4593, 1>
405  L 4593 405 <4592, 1> <4594, 5>
407  L 4594 407 <4593, 5> <4595, 6>
409  L 4595 409 <4594, 6> <4596, 3>
410  L 4596 410 <4595, 3> <4597, 2>
411  L 4597 411 <4596, 2> <4598, 5>
413  L 4598 413 <4597, 5> <4599, 5>
414  L 4599 414 <4598, 5> <4600, 4>
415  L 4600 415 <4599, 4> <4601, 3>
416  L 4601 416 <4600, 3> <4602, 4>
417  L 4602 417 <4601, 4> <4603, 2>
419  L 4603 419 <4602, 2> <4604, 4>
421  L 4604 421 <4603, 4> <4605, 6>
423  L 4605 423 <4604, 6> <4606, 2>
425  L 4606 425 <4605, 2> <4607, 3>
427  L 4607 427 <4606, 3> <4608, 5>
429  L 4608 429 <4607, 5> <4609, 2>
431  L 4609 431 <4608, 2> <4610, 1>
432  L 4610 432 <4609, 1> <4611, 3>
433  L 4611 433 <4610, 3> <4612, 2>
434  L 4612 434 <4611, 2> <4613, 3>
435  L 4613 435 <4612, 3> <4614, 5>
437  L 4614 437 <4613, 5> <4615, 3>
438  L 4615 438 <4614, 3> <4616, 5>
439  L 4616 439 <4615, 5> <4617, 1>
441  L 4617 441 <4616, 1> <4618, 5>
443  L 4618 443 <4617, 5> <4619, 5>
445  L 4619 445 <4618, 5> <4620, 2>
447  L 4620 447 <4619, 2> <4621, 2>
449  L 4621 449 <4620, 2> <4622, 5>
450  L 4622 450 <4621, 5> <4623, 4>
451  L 4623 451 <4622, 4> <4624, 1>
452  L 4624 452 <4623, 1> <4625, 4>
453  L 4625 453 <4624, 4> <4626, 5>
454  L 4626 454 <4625, 5> <4627, 4>
455  L 4627 455 <4626, 4> <4628, 1>
457  L 4628 457 <4627, 1> <4629, 6>
459  L 4629 459 <4628, 6> <4630, 5>
461  L 4630 461 <4629, 5> <4631, 6>
463  L 4631 463 <4630, 6> <4632, 5>
465  L 4632 465 <4631, 5> <4633, 5>
466  L 4633 466 <4632, 5> <4634, 1>
467  L 4634 467 <4633, 1> <4635, 2>
469  L 4635 469 <4634, 2> <4636, 4>
470  L 4636 470 <4635, 4> <4637, 3>
471  L 4637 471 <4636, 3> <4638, 4>
473  L 4638 473 <4637, 4> <4639, 1>
474  L 4639 474 <4638, 1> <4640, 5>
475  L 4640 475 <4639, 5> <4641, 5>
476  L 4641 476 <4640, 5> <4642, 5>
477  L 4642 477 <4641, 5> <4643, 1>
479  L 4643 479 <4642, 1> <4644, 1>
481  L 4644 481 <4643, 1> <4645, 4>
482  L 4645 482 <4644, 4> <4646, 2>
484  L 4646 484 <4645, 2> <4647, 5>
486  L 4647 486 <4646, 5> <4648, 5>
487  L 4648 487 <4647, 5> <4649, 1>
489  L 4649 489 <4648, 1> <4650, 4>
490  L 4650 490 <4649, 4> <4651, 1>
491  L 4651 491 <4650, 1> <4652, 4>
492  L 4652 492 <4651, 4> <4653, 4>
494  L 4653 494 <4652, 4> <4654, 4>
496  L 4654 496 <4653, 4> <4655, 4>
498  L 4655 498 <4654, 4> <4656, 1>
500  L 4656 500 <4655, 1> <4657, 4>
502  L 4657 502 <4656, 4> <4658, 2>
503  L 4658 503 <4657, 2> <4659, 2>
505  L 4659 505 <4658, 2> <4660, 3>
506  L 4660 506 <4659, 3> <4661, 2>
507  L 4661 507 <4660, 2> <4662, 1>
508  L 4662 508 <4661, 1> <4663, 5>
509  L 4663 509 <4662, 5> <4664, 2>
511  L 4664 511 <4663, 2> <4665, 5>
512  L 4665 512 <4664, 5> <4666, 5>
514  L 4666 514 <4665, 5> <4667, 5>
516  L 4667 516 <4666, 5> <4668, 1>
518  L 4668 518 <4667, 1> <4669, 3>
520  L 4669 520 <4668, 3> <4670, 1>
521  L 4670 521 <4669, 1> <4671, 3>
522  L 4671 522 <4670, 3> <4672, 2>
523  L 4672 523 <4671, 2> <4673, 1>
525  L 4673 525 <4672, 1> <4674, 3>
527  L 4674 527 <4673, 3> <4675, 2>
528  L 4675 528 <4674, 2> <4676, 5>
530  L 4676 530 <4675, 5> <4677, 2>
532  L 4677 532 <4676, 2> <4678, 4>
533  L 4678 533 <4677, 4> <4679, 4>
535  L 4679 535 <4678, 4> <4680, 4>
537  L 4680 537 <4679, 4> <4681, 1>
539  L 4681 539 <4680, 1> <4682, 4>
541  L 4682 541 <4681, 4> <4683, 1>
543  L 4683 543 <4682, 1> <4684, 1>
545  L 4684 545 <4683, 1> <4685, 5>
547  L 4685 547 <4684, 5> <4686, 5>
548  L 4686 548 <4685, 5> <4687, 4>
549  L 4687 549 <4686, 4> <4688, 2>
550  L 4688 550 <4687, 2> <4689, 2>
552  L 4689 552 <4688, 2> <4690, 3>
553  L 4690 553 <4689, 3> <4691, 1>
555  L 4691 555 <4690, 1> <4692, 1>
556  L 4692 556 <4691, 1> <4693, 6>
557  L 4693 557 <4692, 6> <4694, 4>
558  L 4694 558 <4693, 4> <4695, 4>
559  L 4695 559 <4694, 4> <4696, 4>
561  L 4696 561 <4695, 4> <4697, 1>
562  L 4697 562 <4696, 1> <4698, 4>
563  L 4698 563 <4697, 4> <4699, 5>
564  L 4699 564 <4698, 5> <4700, 4>
566  L 4700 566 <4699, 4> <4701, 4>
568  L 4701 568 <4700, 4> <4702, 4>
570  L 4702 570 <4701, 4> <4703, 5>
571  L 4703 571 <4702, 5> <4704, 5>
573  L 4704 573 <4703, 5> <4705, 5>
574  L 4705 574 <4704, 5> <4706, 5>
576  L 4706 576 <4705, 5> <4707, 1>
578  L 4707 578 <4706, 1> <4708, 3>
580  L 4708 580 <4707, 3> <4709, 6>
581  L 4709 581 <4708, 6> <4710, 4>
583  L 4710 583 <4709, 4> <4711, 2>
584  L 4711 584 <4710, 2> <4712, 2>
586  L 4712 586 <4711, 2> <4713, 4>
587  L 4713 587 <4712, 4> <4714, 5>
589  L 4714 589 <4713, 5> <4715, 2>
591  L 4715 591 <4714, 2> <4716, 2>
592  L 4716 592 <4715, 2> <4717, 6>
593  L 4717 593 <4716, 6> <4718, 4>
594  L 4718 594 <4717, 4> <4719, 4>
596  L 4719 596 <4718, 4> <4720, 3>
598  L 4720 598 <4719, 3> <4721, 1>
600  L 4721 600 <4720, 1> <4722, 1>
602  L 4722 602 <4721, 1> <4723, 4>
604  L 4723 604 <4722, 4> <4724, 5>
605  L 4724 605 <4723, 5> <4725, 6>
607  L 4725 607 <4724, 6> <4726, 2>
608  L 4726 608 <4725, 2> <4727, 5>
609  L 4727 609 <4726, 5> <4728, 2>
610  L 4728 610 <4727, 2> <4729, 3>
611  L 4729 611 <4728, 3> <4730, 3>
612  L 4730 612 <4729, 3> <4731, 5>
614  L 4731 614 <4730, 5> <4732, 3>
616  L 4732 616 <4731, 3> <4733, 3>
618  L 4733 618 <4732, 3> <4734, 4>
619  L 4734 619 <4733, 4> <4735, 1>
620  L 4735 620 <4734, 1> <4736, 4>
621  L 4736 621 <4735, 4> <4737, 3>
623  L 4737 623 <4736, 3> <4738, 2>
624  L 4738 624 <4737, 2> <4739, 5>
626  L 4739 626 <4738, 5> <4740, 5>
627  L 4740 627 <4739, 5> <4741, 2>
628  L 4741 628 <4740, 2> <4742, 5>
629  L 4742 629 <4741, 5> <4743, 2>
631  L 4743 631 <4742, 2> <4744, 5>
633  L 4744 633 <4743, 5> <4745, 3>
635  L 4745 635 <4744, 3> <4746, 3>
637  L 4746 637 <4745, 3> <4747, 1>
639  L 4747 639 <4746, 1> <4748, 3>
640  L 4748 640 <4747, 3> <4749, 5>
641  L 4749 641 <4748, 5> <4750, 1>
643  L 4750 643 <4749, 1> <4751, 4>
644  L 4751 644 <4750, 4> <4752, 2>
645  L 4752 645 <4751, 2> <4753, 4>
647  L 4753 647 <4752, 4> <4754, 3>
648  L 4754 648 <4753, 3> <4755, 2>
650  L 4755 650 <4754, 2> <4756, 1>
651  L 4756 651 <4755, 1> <4757, 6>
653  L 4757 653 <4756, 6> <4758, 6>
655  L 4758 655 <4757, 6> <4759, 4>
657  L 4759 657 <4758, 4> <4760, 2>
659  L 4760 659 <4759, 2> <4761, 6>
661  L 4761 661 <4760, 6> <4762, 6>
662  L 4762 662 <4761, 6> <4763, 5>
663  L 4763 663 <4762, 5> <4764, 3>
665  L 4764 665 <4763, 3> <4765, 6>
666  L 4765 666 <4764, 6> <4766, 2>
668  L 4766 668 <4765, 2> <4767, 1>
669  L 4767 669 <4766, 1> <4768, 4>
670  L 4768 670 <4767, 4> <4769, 6>
671  L 4769 671 <4768, 6> <4770, 4>
672  L 4770 672 <4769, 4> <4771, 3>
673  L 4771 673 <4770, 3> <4772, 5>
675  L 4772 675 <4771, 5> <4773, 4>
676  L 4773 676 <4772, 4> <4774, 6>
678  L 4774 678 <4773, 6> <4775, 2>
679  L 4775 679 <4774, 2> <4776, 4>
681  L 4776 681 <4775, 4> <4777, 2>
682  L 4777 682 <4776, 2> <4778, 1>
684  L 4778 684 <4777, 1> <4779, 2>
686  L 4779 686 <4778, 2> <4780, 1>
687  L 4780 687 <4779, 1> <4781, 5>
688  L 4781 688 <4780, 5> <4782, 5>
690  L 4782 690 <4781, 5> <4783, 3>
691  L 4783 691 <4782, 3> <4784, 3>
692  L 4784 692 <4783, 3> <4785, 1>
694  L 4785 694 <4784, 1> <4786, 2>
695  L 4786 695 <4785, 2> <4787, 3>
697  L 4787 697 <4786, 3> <4788, 6>
699  L 4788 699 <4787, 6> <4789, 1>
701  L 4789 701 <4788, 1> <4790, 3>
703  L 4790 703 <4789, 3> <4791, 3>
705  L 4791 705 <4790, 3> <4792, 4>
707  L 4792 707 <4791, 4> <4793, 6>
709  L 4793 709 <4792, 6> <4794, 6>
711  L 4794 711 <4793, 6> <4795, 3>
712  L 4795 712 <4794, 3> <4796, 1>
713  L 4796 713 <4795, 1> <4797, 4>
714  L 4797 714 <4796, 4> <4798, 1>
715  L 4798 715 <4797, 1> <4799, 2>
717  L 4799 717 <4798, 2> <4800, 5>
718  L 4800 718 <4799, 5> <4801, 4>
719  L 4801 719 <4800, 4> <4802, 4>
720  L 4802 720 <4801, 4> <4803, 2>
722  L 4803 722 <4802, 2> <4804, 4>
723  L 4804 723 <4803, 4> <4805, 6>
725  L 4805 725 <4804, 6> <4806, 4>
727  L 4806 727 <4805, 4> <4807, 5>
729  L 4807 729 <4806, 5> <4808, 1>
730  L 4808 730 <4807, 1> <4809, 1>
732  L 4809 732 <4808, 1> <4810, 3>
734  L 4810 734 <4809, 3> <4811, 6>
736  L 4811 736 <4810, 6> <4812, 1>
738  L 4812 738 <4811, 1> <4813, 2>
740  L 4813 740 <4812, 2> <4814, 2>
741  L 4814 741 <4813, 2> <4815, 5>
743  L 4815 743 <4814, 5> <4816, 4>
744  L 4816 744 <4815, 4> <4817, 5>
746  L 4817 746 <4816, 5> <4818, 3>
747  L 4818 747 <4817, 3> <4819, 2>
748  L 4819 748 <4818, 2> <4820, 3>
749  L 4820 749 <4819, 3> <4821, 4>
750  L 4821 750 <4820, 4> <4822, 5>
752  L 4822 752 <4821, 5> <4823, 3>
753  L 4823 753 <4822, 3> <4824, 3>
754  L 4824 754 <4823, 3> <4825, 4>
755  L 4825 755 <4824, 4> <4826, 4>
756  L 4826 756 <4825, 4> <4827, 3>
757  L 4827 757 <4826, 3> <4828, 5>
758  L 4828 758 <4827, 5> <4829, 2>
759  L 4829 759 <4828, 2> <4830, 6>
760  L 4830 760 <4829, 6> <4831, 2>
762  L 4831 762 <4830, 2> <4832, 1>
764  L 4832 764 <4831, 1> <4833, 4>
765  L 4833 765 <4832, 4> <4834, 1>
767  L 4834 767 <4833, 1> <4835, 1>
769  L 4835 769 <4834, 1> <4836, 4>
771  L 4836 771 <4835, 4> <4837, 4>
772  L 4837 772 <4836, 4> <4838, 3>
774  L 4838 774 <4837, 3> <4839, 3>
776  L 4839 776 <4838, 3> <4840, 4>
778  L 4840 778 <4839, 4> <4841, 5>
780  L 4841 780 <4840, 5> <4842, 2>
782  L 4842 782 <4841, 2> <4843, 1>
783  L 4843 783 <4842, 1> <4844, 1>
784  L 4844 784 <4843, 1> <4845, 4>
785  L 4845 785 <4844, 4> <4846, 2>
786  L 4846 786 <4845, 2> <4847, 2>
787  L 4847 787 <4846, 2> <4848, 5>
788  L 4848 788 <4847, 5> <4849, 3>
790  L 4849 790 <4848, 3> <4850, 1>
791  L 4850 791 <4849, 1> <4851, 3>
792  L 4851 792 <4850, 3> <4852, 1>
793  L 4852 793 <4851, 1> <4853, 1>
794  L 4853 794 <4852, 1> <4854, 5>
795  L 4854 795 <4853, 5> <4855, 1>
796  L 4855 796 <4854, 1> <4856, 1>
797  L 4856 797 <4855, 1> <4857, 2>
799  L 4857 799 <4856, 2> <4858, 2>
800  L 4858 800 <4857, 2> <4859, 3>
801  L 4859 801 <4858, 3> <4860, 2>
802  L 4860 802 <4859, 2> <4861, 4>
804  L 4861 804 <4860, 4> <4862, 4>
806  L 4862 806 <4861, 4> <4863, 1>
808  L 4863 808 <4862, 1> <4864, 4>
810  L 4864 810 <4863, 4> <4865, 1>
811  L 4865 811 <4864, 1> <4866, 3>
812  L 4866 812 <4865, 3> <4867, 2>
813  L 4867 813 <4866, 2> <4868, 3>
814  L 4868 814 <4867, 3> <4869, 2>
815  L 4869 815 <4868, 2> <4870, 1>
817  L 4870 817 <4869, 1> <4871, 5>
819  L 4871 819 <4870, 5> <4872, 3>
821  L 4872 821 <4871, 3> <4873, 4>
823  L 4873 823 <4872, 4> <4874, 4>
824  L 4874 824 <4873, 4> <4875, 4>
825  L 4875 825 <4874, 4> <4876, 1>
827  L 4876 827 <4875, 1> <4877, 5>
828  L 4877 828 <4876, 5> <4878, 6>
829  L 4878 829 <4877, 6> <4879, 1>
831  L 4879 831 <4878, 1> <4880, 3>
833  L 4880 833 <4879, 3> <4881, 2>
835  L 4881 835 <4880, 2> <4882, 1>
836  L 4882 836 <4881, 1> <4883, 1>
837  L 4883 837 <4882, 1> <4884, 4>
838  L 4884 838 <4883, 4> <4885, 6>
839  L 4885 839 <4884, 6> <4886, 4>
841  L 4886 841 <4885, 4> <4887, 3>
843  L 4887 843 <4886, 3> <4888, 2>
844  L 4888 844 <4887, 2> <4889, 1>
846  L 4889 846 <4888, 1> <4890, 1>
847  L 4890 847 <4889, 1> <4891, 4>
848  L 4891 848 <4890, 4> <4892, 1>
849  L 4892 849 <4891, 1> <4893, 3>
851  L 4893 851 <4892, 3> <4894, 5>
852  L 4894 852 <4893, 5> <4895, 1>
854  L 4895 854 <4894, 1> <4896, 2>
856  L 4896 856 <4895, 2> <4897, 6>
857  L 4897 857 <4896, 6> <4898, 5>
858  L 4898 858 <4897, 5> <4899, 5>
859  L 4899 859 <4898, 5> <4900, 3>
861  L 4900 861 <4899, 3> <4901, 3>
863  L 4901 863 <4900, 3> <4902, 3>
865  L 4902 865 <4901, 3> <4903, 2>
866  L 4903 866 <4902, 2> <4904, 2>
868  L 4904 868 <4903, 2> <4905, 4>
869  L 4905 869 <4904, 4> <4906, 4>
